832|225G CHAVROUX|Chavroux 100% Lait de chèvre - 225 g e
16375|700G MAIZENA|Maizena
16811|400G MINI MARS|Mars minis - 400g
17189|1L BYRRH 17Â°|Byrrh - 100 cl
18111|150G LOU PERAC|Pérail (26,3% MG) - Lou perac - 150 g
18197|37G MALTESERS|Maltesers - 37 g
18658|KG ROCHEBARON|Rochebaron 30 %
18913|180G BREBIOU|Le Brebiou des Pyrénées - 180 g
19703|300G WERTHER'S|Werther's Original - Storck - 300 g e
19753|250G CORSICA|Fromage de brebis au lait pasteurisé (28% MG) - Corsica - 250 g
21028|175G MESCLUN|Mesclun - Florette - 175 g
21625|85G 3D'S SALE|3D's Bugles Goût Nature - Bénenuts - 85 g
22589|150G BREBIOU|Le Brebiou des Pyrénées - Fromageries des Chaumes - 150 g
24936|CEVADA PENSAL|Cevada Pensal - Nestlé - 200 g
25339|45G MACHE|Ma petite salade Mâche - Florette - 45 g
26120|350G ABBRACCI|Abbracci fin cacao e panna fresca - Mulino bianco - 250 g
26781|2 CR2025|7,6389E+12
26938|1KG PAELLA|Paëlla Poulet, Fruits de Mer - Carrefour Discount - 1 kg e
26976|370G MOUTARDE|Moutarde de Dijon - Carrefour discount - 370 g
27340|10 OEUFS FRAIS|"10 œufs frais calibre moyen ""Œufs de France"" - Carrefour Discount - 10 (calibre Moyen => 53 à 63 g)"
28238|2X4G AGAR AGAR|Gélifiant naturel végétal Agar-Agar bio - Plaisance Bio - 2 * 4 g
29191|CR TK NAT 300G|Croûtons nature - Tipiak - 300g
29221|250G RICOTTA|Ricotta - L'Italie des Fromages - 250 g
30442|OPERA 2X90G|Operas - Tartefrais
30802|GNOCCHI 400G|Gnocchi de pomme de terre - Treo - 400 g
31217|4/4 LENTILLES|Lentilles - Sans Marque - 530
32389|10 TWIX 500G|Twix 10 x 2 - 500 g
32494|50G TWIX|Twix - 2 x 25 g (50 g)
32495|6 TWIX 300G|Twix 6*2 - Mars - 300 g
32498|3X TWIX 150G|Twix, milk chocolate covered caramel and biscuit bar - Mars - 150 g (3 sachets de 2 biscuits de 25 g)
33093|100G PERAIL|Fromage Au Lait De Brebis - Perail
33102|4/4 CASSOULET|Cassoulet - Carrefour - 840 g
35708|1L ORANGINA|Orangina - 1 l
35824|KG SURIMI|Roulé De Surimi - Cs france
37356|450G X10 MARS|Pack de Mars - 45 g
37408|270G MARS X 6|Mars - 270g
39449|4/4 BIGARREAUX|3,19122E+12
39993|200G BABYBEL|Babybel - Bel - 200g
40235|54G TICTAC|Tic Tac Goût Fraise Smoothie Banane - 54 g
41777|OS JAMBON AIME|OS DE JAMBON
42269|MACARONS X12|12 macarons - Carrefour
